Query;Precision
00001;0.4
00002;0.2
00003;0.4
00004;0.2
00005;0.7
00006;0.4
00007;0.5
00008;0.0
00009;0.3
00010;0.6
00011;0.8
00012;0.0
00013;0.4
00014;0.3
00015;0.9
00016;0.6
00017;0.3
00018;0.1
00019;0.0
00020;0.9
00021;0.1
00022;0.7
00023;0.0
00024;0.1
00025;0.5
00026;0.6
00027;0.2
00028;0.4
00029;0.3
00030;0.3
00031;0.7
00032;0.3
00033;0.8
00034;0.6
00035;0.4
00036;0.2
00037;0.8
00038;0.5
00039;0.6
00040;0.3
00041;0.3
00042;0.8
00043;0.9
00044;0.6
00045;0.6
00046;0.4
00047;0.1
00048;0.2
00049;0.9
00050;0.5
00051;0.3
00052;0.1
00053;0.1
00054;0.7
00055;0.2
00056;0.4
00057;0.7
00058;0.5
00059;0.7
00060;0.2
00061;0.9
00062;0.4
00063;0.3
00064;0.5
00065;0.5
00066;0.4
00067;0.2
00068;0.6
00069;0.6
00070;0.5
00071;0.3
00072;0.6
00073;0.4
00074;0.2
00075;0.5
00076;0.4
00077;0.1
00078;0.3
00079;0.3
00080;0.4
00081;0.5
00082;0.9
00083;0.4
00084;0.7
00085;0.3
00086;0.4
00087;0.1
00088;0.2
00089;0.5
00090;1.0
00091;0.5
00092;1.0
00094;0.6
00095;0.3
00096;0.2
00097;0.4
00098;0.3
00099;0.3
00100;0.3
