Query;Precision
00001;0.4
00002;0.4
00003;0.4
00004;0.0
00005;0.8
00006;0.6
00007;0.6
00008;0.0
00009;0.2
00010;0.6
00011;1.0
00012;0.0
00013;0.8
00014;0.4
00015;1.0
00016;0.8
00017;0.6
00018;0.2
00019;0.0
00020;1.0
00021;0.0
00022;1.0
00023;0.0
00024;0.2
00025;0.2
00026;1.0
00027;0.4
00028;0.2
00029;0.2
00030;0.2
00031;0.6
00032;0.4
00033;1.0
00034;1.0
00035;0.4
00036;0.2
00037;0.8
00038;0.2
00039;0.2
00040;0.4
00041;0.4
00042;1.0
00043;1.0
00044;0.6
00045;0.6
00046;0.8
00047;0.2
00048;0.0
00049;1.0
00050;0.8
00051;0.2
00052;0.2
00053;0.2
00054;0.8
00055;0.0
00056;0.4
00057;1.0
00058;0.4
00059;0.4
00060;0.4
00061;1.0
00062;0.6
00063;0.2
00064;0.4
00065;0.4
00066;0.6
00067;0.4
00068;0.2
00069;0.8
00070;0.8
00071;0.4
00072;0.6
00073;0.4
00074;0.4
00075;0.6
00076;0.6
00077;0.2
00078;0.0
00079;0.0
00080;0.4
00081;0.8
00082;1.0
00083;0.4
00084;0.8
00085;0.0
00086;0.6
00087;0.2
00088;0.2
00089;0.6
00090;1.0
00091;0.8
00092;1.0
00094;0.4
00095;0.6
00096;0.2
00097;0.8
00098;0.6
00099;0.6
00100;0.6
