QueryNumber;QueryText
00001;['EFFECTS', 'CALCIUM', 'PHYSICAL', 'PROPERTIES', 'MUCUS']
00002;['DISTINGUISH', 'EFFECTS', 'MUCUS', 'HYPERSECRETION', 'INFECTION', 'SUBMUCOSAL', 'GLANDS', 'RESPIRATORY', 'TRACT']
00003;['SALIVARY', 'GLYCOPROTEINS', 'DIFFERENT', 'NORMAL', 'SUBJECTS']
00004;['LIPID', 'COMPOSITION', 'RESPIRATORY', 'SECRETIONS']
00005;['MUCUS', 'ABNORMAL']
00006;['EFFECT', 'WATER', 'THERAPEUTIC', 'AGENTS', 'PHYSICAL', 'PROPERTIES', 'VISCOSITY', 'ELASTICITY', 'SPUTUM', 'BRONCHIAL', 'SECRETIONS']
00007;['MUCUS', 'GLYCOPROTEINS', 'DEGRADED', 'DIFFERENTLY', 'COMPARED', 'NORMAL', 'SUBJECTS']
00008;['HISTOCHEMICAL', 'DIFFERENCES', 'DESCRIBED', 'NORMAL', 'RESPIRATORY', 'EPITHELIA']
00009;['ASSOCIATION', 'LIVER', 'DISEASE', 'CIRRHOSIS', 'VITAMIN', 'METABOLISM']
00010;['VITAMIN', 'THERAPY']
00011;['DIFFERENCE', 'MECONIUM', 'ILEUS', 'MECONIUM', 'SYNDROME']
00012;['ABNORMALITIES', 'AMINO', 'TRANSPORT', 'DESCRIBED', 'SMALL', 'BOWEL']
00013;['CLINICAL', 'BIOCHEMICAL', 'FEATURES', 'PANCREATITIS']
00014;['INVASIVE', 'TESTS', 'PERFORMED', 'EVALUATION', 'EXOCRINE', 'PANCREATIC', 'FUNCTION']
00015;['HEPATIC', 'COMPLICATIONS', 'MANIFESTATIONS']
00016;['GASTROINTESTINAL', 'COMPLICATIONS', 'NEONATAL', 'PERIOD', 'EXCLUDE', 'LIVER', 'DISEASE', 'MECONIUM', 'ILEUS']
00017;['EFFECTIVE', 'REGIMEN', 'PANCREATIC', 'ENZYME', 'SUPPLEMENTS', 'TREATMENT']
00018;['DIETARY', 'SUPPLEMENTATION', 'SALTS', 'THERAPEUTIC', 'BENEFIT']
00019;['COMPLICATIONS', 'PANCREATIC', 'ENZYME', 'THERAPY', 'REPORTED']
00020;['EFFECT', 'TREATMENT', 'ESSENTIAL', 'FATTY', 'SUPPLEMENTS']
00021;['PANCREATIC', 'INSUFFICIENCY', 'AFFECT', 'ABILITY', 'ABSORB', 'METABOLIZE']
00022;['FREQUENCY', 'CAUCASIAN', 'POPULATIONS']
00023;['CONGENITAL', 'HEREDITARY', 'DISEASES', 'CONDITIONS', 'FOUND', 'ASSOCIATION']
00024;['CHARACTERISTICS', 'INCOMPLETELY', 'MANIFESTED']
00025;['EVIDENCE', 'GENETIC', 'BASIS', 'INVOLVES']
00026;['HETEROZYGOTE', 'ADVANTAGE']
00027;['CONCORDANCE', 'CLINICAL', 'BIOCHEMICAL', 'MANIFESTATIONS', 'SIBLING', 'PAIRS']
00028;['INCIDENCE', 'FERTILITY']
00029;['PATHOLOGY', 'REPRODUCTIVE', 'SYSTEM', 'FEMALE']
00030;['RESULTS', 'GENETIC', 'COUNSELING', 'FAMILIES', 'CHILDREN']
00031;['MAJOR', 'PSYCHOLOGICAL', 'SOCIAL', 'EFFECTS', 'FAMILIES']
00032;['FACTORS', 'INFLUENCE', 'COMPLIANCE', 'PRESCRIBED', 'THERAPY']
00033;['CONDITIONS', 'FACTORS', 'ERRONEOUS', 'SWEAT', 'TESTS']
00034;['ALTERNATIVE', 'TECHNIQUES', 'CLASSICAL', 'GIBSON', 'COOKE', 'QUANTITATIVE', 'PILOCARPINE', 'IONTOPHORESIS', 'TITRIMETRIC', 'ANALYSIS', 'CHLORIDE', 'AVAILABLE', 'SWEAT', 'TESTING', 'RELATIVE', 'ADVANTAGES', 'DISADVANTAGES']
00035;['FOUND', 'CONSISTENTLY', 'NORMAL', 'SWEAT', 'TESTS']
00036;['CONCENTRATION', 'POTASSIUM', 'SWEAT']
