QueryNumber;QueryText
00001;['EFFECT', 'CALCIUM', 'PHYSIC', 'PROPERTI', 'MUCU']
00002;['DISTINGUISH', 'EFFECT', 'MUCU', 'HYPERSECRET', 'INFECT', 'SUBMUCOS', 'GLAND', 'RESPIRATORI', 'TRACT']
00003;['SALIVARI', 'GLYCOPROTEIN', 'DIFFER', 'NORMAL', 'SUBJECT']
00004;['LIPID', 'COMPOSIT', 'RESPIRATORI', 'SECRET']
00005;['MUCU', 'ABNORM']
00006;['EFFECT', 'WATER', 'THERAPEUT', 'AGENT', 'PHYSIC', 'PROPERTI', 'VISCOS', 'ELAST', 'SPUTUM', 'BRONCHIAL', 'SECRET']
00007;['MUCU', 'GLYCOPROTEIN', 'DEGRAD', 'DIFFER', 'COMPAR', 'NORMAL', 'SUBJECT']
00008;['HISTOCHEM', 'DIFFER', 'DESCRIB', 'NORMAL', 'RESPIRATORI', 'EPITHELIA']
00009;['ASSOCI', 'LIVER', 'DISEAS', 'CIRRHOSI', 'VITAMIN', 'METABOL']
00010;['VITAMIN', 'THERAPI']
00011;['DIFFER', 'MECONIUM', 'ILEU', 'MECONIUM', 'SYNDROM']
00012;['ABNORM', 'AMINO', 'TRANSPORT', 'DESCRIB', 'SMALL', 'BOWEL']
00013;['CLINIC', 'BIOCHEM', 'FEATUR', 'PANCREAT']
00014;['INVAS', 'TEST', 'PERFORM', 'EVALU', 'EXOCRIN', 'PANCREAT', 'FUNCTION']
00015;['HEPAT', 'COMPLIC', 'MANIFEST']
00016;['GASTROINTESTIN', 'COMPLIC', 'NEONAT', 'PERIOD', 'EXCLUD', 'LIVER', 'DISEAS', 'MECONIUM', 'ILEU']
00017;['EFFECT', 'REGIMEN', 'PANCREAT', 'ENZYM', 'SUPPLEMENT', 'TREATMENT']
00018;['DIETARI', 'SUPPLEMENT', 'SALT', 'THERAPEUT', 'BENEFIT']
00019;['COMPLIC', 'PANCREAT', 'ENZYM', 'THERAPI', 'REPORT']
00020;['EFFECT', 'TREATMENT', 'ESSENTI', 'FATTI', 'SUPPLEMENT']
00021;['PANCREAT', 'INSUFFICI', 'AFFECT', 'ABIL', 'ABSORB', 'METABOL']
00022;['FREQUENC', 'CAUCASIAN', 'POPUL']
00023;['CONGENIT', 'HEREDITARI', 'DISEAS', 'CONDIT', 'FOUND', 'ASSOCI']
00024;['CHARACTERIST', 'INCOMPLET', 'MANIFEST']
00025;['EVID', 'GENET', 'BASI', 'INVOLV']
00026;['HETEROZYGOT', 'ADVANTAG']
