QueryNumber;DocVotes;DocNumber
00001;7;139
00001;6;151
00001;1;166
00001;1;311
00001;2;370
00001;1;392
00001;1;439
00001;2;440
00001;7;441
00001;1;454
00001;5;461
00001;2;502
00001;1;503
00001;1;505
00001;2;520
00001;1;522
00001;3;526
00001;2;527
00001;8;533
00001;1;593
00001;1;619
00001;1;737
00001;1;742
00001;1;789
00001;1;827
00001;1;835
00001;1;861
00001;5;875
00001;1;891
00001;2;921
00001;2;922
00001;1;1175
00001;1;1185
00001;1;1222
00002;1;169
00002;2;434
00002;1;454
00002;1;498
00002;1;499
00002;2;592
00002;3;875
00003;1;23
00003;1;40
00003;7;139
00003;1;190
00003;1;221
00003;1;246
00003;1;309
00003;2;311
00003;1;325
00003;1;345
00003;1;347
00003;1;356
00003;2;370
00003;1;374
00003;7;375
00003;1;439
00003;4;440
00003;5;454
00003;1;515
00003;1;520
00003;1;524
00003;2;526
00003;5;527
00003;1;533
00003;1;535
00003;1;560
00003;1;561
00003;1;571
00003;1;584
00003;2;604
00003;1;623
00003;8;633
00003;1;733
00003;2;742
00003;1;854
00003;6;856
00003;1;950
00003;1;967
00003;4;1144
00003;1;1161
00003;1;1172
00003;1;1175
00003;2;1196
00004;1;503
00004;1;538
00004;1;539
00004;1;540
00004;1;553
00004;8;604
00004;2;669
00004;7;711
00004;8;876
00005;6;23
00005;7;47
00005;1;50
00005;1;60
00005;2;114
00005;1;132
00005;1;135
00005;1;139
00005;8;151
00005;1;169
00005;1;189
00005;1;190
00005;1;197
00005;1;200
00005;1;226
00005;6;256
00005;1;265
00005;1;297
00005;1;298
00005;1;299
00005;1;311
00005;1;312
00005;3;325
00005;1;333
00005;2;343
00005;3;347
00005;1;349
00005;1;369
00005;5;370
00005;1;371
00005;8;374
00005;2;386
00005;1;392
00005;1;410
00005;1;420
00005;1;427
00005;1;428
00005;2;430
00005;1;434
00005;1;437
00005;8;439
00005;1;440
00005;1;441
00005;1;450
00005;5;461
00005;3;465
00005;1;478
00005;5;496
00005;6;497
00005;6;498
00005;7;499
00005;4;500
00005;1;501
00005;1;502
00005;7;503
00005;1;505
00005;3;511
00005;1;513
00005;2;516
00005;1;520
00005;2;524
00005;1;531
00005;6;533
00005;1;549
00005;2;553
00005;1;559
00005;1;561
00005;1;568
00005;1;590
00005;2;592
00005;8;593
00005;2;604
00005;1;605
00005;7;633
00005;1;669
00005;1;701
00005;1;702
00005;7;710
00005;2;711
00005;1;722
00005;2;724
00005;1;729
00005;2;731
00005;2;733
00005;1;750
00005;1;761
00005;1;763
00005;1;772
00005;1;779
00005;1;788
00005;6;805
00005;2;843
00005;1;845
00005;6;856
00005;1;857
00005;6;861
00005;1;864
00005;2;867
00005;8;875
00005;2;876
00005;2;888
00005;2;889
00005;5;895
00005;1;925
00005;1;935
00005;1;943
00005;1;944
00005;6;975
00005;5;980
00005;2;982
00005;2;990
00005;2;1000
00005;1;1019
00005;1;1038
00005;1;1040
00005;6;1064
00005;1;1076
00005;1;1080
00005;1;1088
00005;1;1091
00005;2;1092
00005;2;1093
00005;1;1098
00005;5;1144
00005;1;1156
00005;4;1175
00005;1;1185
00005;1;1188
00005;1;1196
00005;1;1223
00005;1;1226
00006;1;25
00006;8;31
00006;1;90
00006;1;195
00006;1;326
00006;2;370
00006;1;438
00006;1;440
00006;1;441
00006;5;503
00006;1;511
00006;1;586
00006;2;592
00006;1;593
00006;1;722
00006;1;731
00006;2;734
00006;1;805
00006;4;875
00006;1;922
00006;1;963
00006;2;975
00006;1;1092
00006;2;1093
00007;1;45
00007;1;53
00007;2;166
00007;1;171
00007;2;256
00007;1;370
00007;7;371
00007;1;386
00007;1;410
00007;2;439
00007;1;535
00007;6;623
00007;1;633
00007;1;634
00007;1;640
00007;1;669
00007;1;831
00007;1;853
00007;5;856
00007;1;857
00007;1;921
00007;1;1027
00007;2;1054
00007;1;1056
00007;1;1057
00007;1;1059
00007;4;1064
00007;1;1161
00008;6;23
00008;1;169
00008;1;322
00008;1;370
00008;1;386
00008;1;435
00008;2;439
00008;1;463
00008;1;496
00008;1;497
00008;1;498
00008;6;499
00008;1;503
00008;1;605
00008;6;683
00008;1;710
00008;1;750
