Query;Results
00001;[(1, '437', 0.29827020163605855), (2, '484', 0.23359654518010944), (3, '498', 0.23088808002744438), (4, '139', 0.2038291961337805), (5, '827', 0.20205678141843741), (6, '499', 0.19520639952638344), (7, '533', 0.19195762757043663), (8, '957', 0.1901258394455599), (9, '526', 0.18856821835229312), (10, '754', 0.17919127596114962), (11, '741', 0.17853779940733475), (12, '441', 0.17504512410522596), (13, '856', 0.16704339086460282), (14, '925', 0.15968189671819358), (15, '592', 0.1595573617342365), (16, '27', 0.1527331246759028), (17, '481', 0.14631404126382794), (18, '461', 0.13806310634720792), (19, '52', 0.13526591405656047), (20, '392', 0.13136083356898795), (21, '151', 0.12834999610824158), (22, '1188', 0.12664567438815158), (23, '711', 0.12451669401049581), (24, '1026', 0.12081171064418526), (25, '568', 0.11999422122896293), (26, '40', 0.11963493309707864), (27, '53', 0.11954110007035508), (28, '975', 0.11797910796133114), (29, '847', 0.11098804706623659), (30, '789', 0.10766715157403997), (31, '967', 0.10709779943026432), (32, '1107', 0.10529920551654491), (33, '1064', 0.10465763711820983), (34, '960', 0.10227516061462073), (35, '505', 0.10142997353035448), (36, '980', 0.1000173658696126)]
00002;[(1, '761', 0.29864549386556394), (2, '592', 0.2913200927694157), (3, '498', 0.2591032352929194), (4, '980', 0.19764308302154995), (5, '160', 0.19301749387007), (6, '1170', 0.18789082364178672), (7, '590', 0.18377651477046497), (8, '733', 0.16915790031578798), (9, '754', 0.16629225774355866), (10, '137', 0.1616763668091592), (11, '437', 0.15537898502712771), (12, '1', 0.13497315395497397), (13, '1223', 0.12401259125911222), (14, '912', 0.11944549270672686), (15, '742', 0.11441604612400989), (16, '925', 0.11204254804860446), (17, '440', 0.10741107544825582), (18, '711', 0.10412018170502885), (19, '769', 0.10062059629308284), (20, '265', 0.10011711764971988)]
00003;[(1, '856', 0.35512079553890896), (2, '77', 0.28236404687225775), (3, '635', 0.2704241924919573), (4, '633', 0.2655828276764931), (5, '439', 0.25794227204711684), (6, '2', 0.25217280711505635), (7, '1206', 0.24673412742744644), (8, '500', 0.23082256230114953), (9, '1196', 0.21155171832122266), (10, '852', 0.2107651415367262), (11, '959', 0.21020822882590648), (12, '23', 0.21016673266920563), (13, '553', 0.19114243609808285), (14, '307', 0.1881574062367572), (15, '367', 0.18328642328224096), (16, '462', 0.18130634039396493), (17, '150', 0.18055238826951858), (18, '805', 0.1765962271957452), (19, '956', 0.17022341705864785), (20, '1064', 0.16245989405713177), (21, '584', 0.14486864814619055), (22, '32', 0.14377590449140198), (23, '702', 0.14357361045713302), (24, '680', 0.14058692876816073), (25, '1029', 0.14051670406992925), (26, '147', 0.12829368999389537), (27, '645', 0.12827687075754923), (28, '497', 0.12822974947801025), (29, '710', 0.12332044138066738), (30, '515', 0.12210823036860474), (31, '754', 0.11944217386135628), (32, '356', 0.11889255155663817), (33, '529', 0.11463981786419776), (34, '536', 0.11447630891801037), (35, '602', 0.11191330317955182), (36, '371', 0.10973878133529122), (37, '309', 0.10669737780642091), (38, '269', 0.10550453810167233), (39, '399', 0.10499702262184434), (40, '1144', 0.1038818898593774), (41, '311', 0.10357527962068165), (42, '1121', 0.10163361274623073), (43, '1199', 0.1007371970104768), (44, '505', 0.10022197469761662)]
00004;[(1, '715', 0.4136443410575543), (2, '357', 0.3347068944635714), (3, '604', 0.2878427012710246), (4, '928', 0.26696258420321706), (5, '876', 0.24340001213996137), (6, '991', 0.23738840632835448), (7, '1030', 0.23467967971433312), (8, '725', 0.2022780838639621), (9, '311', 0.1978143765235382), (10, '160', 0.17158932715018674), (11, '498', 0.17025482296553826), (12, '835', 0.16750898072940612), (13, '761', 0.15793019961953433), (14, '374', 0.15688035618505253), (15, '441', 0.15566124876805698), (16, '820', 0.1553663436213318), (17, '568', 0.15347282230069226), (18, '1197', 0.1492586969976371), (19, '867', 0.14781213847348923), (20, '288', 0.14387807741712696), (21, '497', 0.12772078875649034), (22, '711', 0.12451499366227319), (23, '539', 0.12271687132596022), (24, '856', 0.12108627685922574), (25, '402', 0.11568085060949211), (26, '499', 0.11360189921981076), (27, '827', 0.11331612603931414), (28, '980', 0.11153757698093307), (29, '758', 0.10700684601679067), (30, '515', 0.10699606422233629), (31, '1053', 0.10135770775445681)]
00005;[(1, '498', 0.4741020495826945), (2, '754', 0.321101307005504), (3, '437', 0.3063056589401173), (4, '925', 0.2965929140874743), (5, '711', 0.2839534290996887), (6, '592', 0.2767551642796745), (7, '499', 0.2764984629061086), (8, '481', 0.2606827947266504), (9, '151', 0.24898034506175243), (10, '827', 0.2346110787484548), (11, '501', 0.23403200684460593), (12, '975', 0.22886232879600207), (13, '1064', 0.20302061077636716), (14, '776', 0.20118612638563682), (15, '980', 0.1940191587180318), (16, '463', 0.19255629363819157), (17, '265', 0.1680708522317203), (18, '564', 0.16725569273925917), (19, '441', 0.16200276517090753), (20, '867', 0.15288284032796481), (21, '909', 0.14940477056487259), (22, '364', 0.14682815920118808), (23, '266', 0.1320121140530105), (24, '568', 0.12465196972802943), (25, '594', 0.12104405939302254), (26, '503', 0.12065616760692312), (27, '189', 0.1198788679428199), (28, '511', 0.11889966551265199), (29, '566', 0.11433057500022463), (30, '1238', 0.11373610313660576), (31, '300', 0.1115894175091981), (32, '270', 0.10862774054971618), (33, '504', 0.10837434183841023), (34, '490', 0.10497195854308011), (35, '117', 0.10380950720629886), (36, '478', 0.10008574006759437)]
00006;[(1, '47', 0.3958122168063247), (2, '31', 0.36719647107023085), (3, '976', 0.30054494319074077), (4, '593', 0.29607125965674974), (5, '441', 0.24647001859172005), (6, '805', 0.23253518103117357), (7, '546', 0.1829778107350742), (8, '945', 0.15428003225336692), (9, '109', 0.1542718140956162), (10, '577', 0.1440542609561634), (11, '1164', 0.13895131590027296), (12, '592', 0.13318579897816682), (13, '496', 0.1321586991563359), (14, '844', 0.12403717857426712), (15, '980', 0.12146571419653292), (16, '77', 0.12074645260313649), (17, '533', 0.11717767691217248), (18, '27', 0.11681677625746228), (19, '1038', 0.11667410980513308), (20, '820', 0.11348851994562198), (21, '503', 0.11222778427362051), (22, '497', 0.10984333613056653), (23, '975', 0.1078400511911848), (24, '856', 0.10692511094039993), (25, '119', 0.10393209860873341), (26, '499', 0.10261981305473068), (27, '67', 0.10025658306280213)]
00007;[(1, '856', 0.40772915418944683), (2, '498', 0.26940542885085744), (3, '754', 0.23408596303041526), (4, '256', 0.22097649743262626), (5, '1064', 0.22080411867395408), (6, '439', 0.19208754873303543), (7, '827', 0.18543427261377504), (8, '437', 0.1837721180235865), (9, '371', 0.17229956865122886), (10, '500', 0.17189171760341468), (11, '1196', 0.16857760948777076), (12, '633', 0.1656678837060009), (13, '166', 0.16003234262404178), (14, '151', 0.15836568786362254), (15, '23', 0.15650948634074463), (16, '805', 0.1554064891398909), (17, '975', 0.15095142257045677), (18, '925', 0.1458293297878087), (19, '481', 0.14420306074624925), (20, '553', 0.14234224471061063), (21, '307', 0.1401193168267614), (22, '592', 0.13607546979465843), (23, '711', 0.13361613225487812), (24, '463', 0.1291627890301425), (25, '710', 0.1252912816729258), (26, '499', 0.12287652652306084), (27, '755', 0.11492023092530798), (28, '1062', 0.11379169119659101), (29, '1202', 0.11270959333957724), (30, '466', 0.10988495956904318), (31, '497', 0.1080244500161411), (32, '147', 0.10790834595858016), (33, '1238', 0.10753296337575431), (34, '702', 0.10691812038635042), (35, '564', 0.1067022348728856), (36, '680', 0.10469396239965277), (37, '1029', 0.10464166662805727), (38, '534', 0.10353323215671385)]
00008;[(1, '531', 0.21707930682544904), (2, '166', 0.13730932747386979), (3, '160', 0.12270237557363736), (4, '437', 0.10639539475649147)]
00009;[(1, '414', 0.413418220164584), (2, '1108', 0.3398688522289435), (3, '870', 0.3383725887384758), (4, '545', 0.31506476497109914), (5, '157', 0.3077591212413626), (6, '59', 0.30479497934723304), (7, '878', 0.2995871569431705), (8, '720', 0.29541137218440394), (9, '165', 0.2784374662135227), (10, '1115', 0.2710928934439227), (11, '1184', 0.2707665139467671), (12, '1190', 0.24982522996092688), (13, '676', 0.2436468673968415), (14, '296', 0.23991948116493877), (15, '581', 0.23347894890523851), (16, '854', 0.2276659513049822), (17, '1106', 0.22660143399503432), (18, '174', 0.22475304990984699), (19, '1013', 0.22285165088296335), (20, '794', 0.20876944168492048), (21, '204', 0.2038480465646774), (22, '339', 0.1987452663750963), (23, '752', 0.1751886830700758), (24, '126', 0.17462778571951448), (25, '408', 0.17315262165778522), (26, '355', 0.17177424979956746), (27, '853', 0.1679693263812203), (28, '747', 0.1658042055757145), (29, '690', 0.15933506047889884), (30, '99', 0.1490560037562091), (31, '992', 0.14896880095231607), (32, '715', 0.14390238867297533), (33, '1162', 0.14383324754710589), (34, '866', 0.14074669375478094), (35, '149', 0.13664378647362668), (36, '708', 0.13616918260072108), (37, '1107', 0.13242019243366962), (38, '197', 0.12579018681624246), (39, '443', 0.12550238950725692), (40, '63', 0.12318630632399198), (41, '1216', 0.12152227526514485), (42, '970', 0.11972927781387979), (43, '1088', 0.11891813568702596), (44, '974', 0.11734359325314882), (45, '863', 0.11712295186758018), (46, '985', 0.11558006097910162), (47, '410', 0.11547973417725546), (48, '549', 0.11466064783549848), (49, '333', 0.11355509450495177), (50, '468', 0.11077805947982367), (51, '376', 0.11011365961661444), (52, '857', 0.1093910597050073), (53, '1239', 0.10811652858243041), (54, '1027', 0.10801746160785686), (55, '1219', 0.10552397406959191), (56, '611', 0.10417296793409854), (57, '14', 0.10348348390789039), (58, '553', 0.10171134650382863), (59, '266', 0.10049922523497822)]
00010;[(1, '414', 0.6021835774074755), (2, '1108', 0.563244572253874), (3, '157', 0.5014011649544211), (4, '878', 0.4947849038791158), (5, '1115', 0.4105624312897731), (6, '676', 0.39798300510486073), (7, '794', 0.34959145129724756), (8, '1106', 0.3213665694860862), (9, '296', 0.31483174071155057), (10, '581', 0.30856068955070376), (11, '165', 0.3069828638274886), (12, '1190', 0.25592083519422465), (13, '992', 0.2494532672148857), (14, '970', 0.24412794660985038), (15, '510', 0.2428109722611902), (16, '126', 0.22198030543256386), (17, '963', 0.21892461862083326), (18, '438', 0.2103311256539267), (19, '974', 0.19649579332455183), (20, '468', 0.18550158621342738), (21, '159', 0.18422134403801393), (22, '1218', 0.1838323349610503), (23, '326', 0.18309089294493888), (24, '1239', 0.1810447632148947), (25, '985', 0.17272946348415694), (26, '943', 0.17149717134304615), (27, '1107', 0.16832759254634488), (28, '1180', 0.16145930797208424), (29, '799', 0.15898837108059713), (30, '1234', 0.1404714825538385), (31, '90', 0.13376637381123585), (32, '914', 0.1316963174279896), (33, '708', 0.12879228664759534), (34, '767', 0.12282266787477265), (35, '413', 0.11937668837399103), (36, '1215', 0.11693364470357362), (37, '715', 0.11587213902174287), (38, '660', 0.11562650731171516), (39, '1165', 0.1111070770935114), (40, '212', 0.11044860364243589), (41, '603', 0.10445387508198356), (42, '27', 0.10200955396873683), (43, '362', 0.1014369838267576)]
00011;[(1, '96', 0.4752196085948449), (2, '799', 0.43242344884214373), (3, '991', 0.40899824442775984), (4, '649', 0.3857031720319328), (5, '659', 0.3377392873158826), (6, '835', 0.3147665485316502), (7, '908', 0.3059981353461713), (8, '798', 0.29005822310475815), (9, '1064', 0.28658437854260554), (10, '483', 0.2597650724969975), (11, '834', 0.25446753889110074), (12, '319', 0.23097211493749537), (13, '1002', 0.2202416892804604), (14, '697', 0.22009884535328003), (15, '775', 0.21448653217717115), (16, '518', 0.21132461968764285), (17, '900', 0.20688129443474268), (18, '318', 0.20555355852567372), (19, '10', 0.1930571312874945), (20, '234', 0.1928680955254462), (21, '1119', 0.18973529761178837), (22, '959', 0.18073721004319387), (23, '772', 0.17984347270425965), (24, '482', 0.17201343362992844), (25, '849', 0.16869143108352164), (26, '33', 0.16820841483719953), (27, '836', 0.16108227667231048), (28, '796', 0.15475865332389424), (29, '1014', 0.1522084396006587), (30, '1028', 0.15112900125454923), (31, '470', 0.1510486845123269), (32, '909', 0.1508478954079354), (33, '35', 0.14128599420155744), (34, '831', 0.13570446663712338), (35, '489', 0.13478848259446263), (36, '175', 0.13473348158682483), (37, '994', 0.133909849971001), (38, '333', 0.13037532082506062), (39, '396', 0.12954220855065887), (40, '186', 0.12949505465732794), (41, '1176', 0.12949487583980354), (42, '1226', 0.12564842427969228), (43, '71', 0.12269346715178182), (44, '1174', 0.1210870962656156), (45, '1184', 0.11863902902197505), (46, '1194', 0.1178432109348912), (47, '596', 0.11514819156610485), (48, '671', 0.11422737504320266), (49, '99', 0.11296660490889272), (50, '1178', 0.11278936499971781), (51, '473', 0.11013021368714238), (52, '1113', 0.10792788092158431), (53, '661', 0.10717487380340371), (54, '788', 0.10712185676228753), (55, '877', 0.10660100674553694), (56, '566', 0.10567001934848648), (57, '12', 0.10532106724179938), (58, '38', 0.10450916309318532)]
00012;[(1, '834', 0.2764112680157942), (2, '896', 0.22197560423915538), (3, '140', 0.21095299483384025), (4, '772', 0.2087061347833499), (5, '383', 0.18735005010196157), (6, '775', 0.1866817339295145), (7, '32', 0.18574327139444768), (8, '1051', 0.1661883722915075), (9, '125', 0.1584717213525617), (10, '46', 0.15087301854195256), (11, '428', 0.1503151603672503), (12, '872', 0.14310001433191957), (13, '490', 0.1380954410716256), (14, '649', 0.1314488431583933), (15, '288', 0.112239548353551), (16, '1200', 0.11127690102638126), (17, '570', 0.11083601321730817), (18, '504', 0.10893773246504126), (19, '1237', 0.10638223123226559), (20, '186', 0.1056471212415504), (21, '566', 0.10367440449654582), (22, '289', 0.10130955216814917)]
00013;[(1, '791', 0.19049455674250806), (2, '902', 0.18418892146275295), (3, '499', 0.17386814319817093), (4, '571', 0.17376257748706772), (5, '643', 0.157740388515696), (6, '920', 0.14801455001237976), (7, '150', 0.14574771295535646), (8, '1186', 0.14187780216573984), (9, '770', 0.13943129796751702), (10, '301', 0.1373415451091185), (11, '798', 0.1372301000762274), (12, '690', 0.13695941364234815), (13, '1134', 0.135254158303107), (14, '928', 0.134182384701731), (15, '635', 0.13381435567435787), (16, '879', 0.13331395060989126), (17, '10', 0.1298186559245275), (18, '1124', 0.129137823606028), (19, '1158', 0.12806207313337264), (20, '496', 0.12730590364198513), (21, '915', 0.12705431847420065), (22, '424', 0.12573038599437983), (23, '719', 0.1246835116349945), (24, '435', 0.12206791242752255), (25, '1028', 0.11605651920812048), (26, '180', 0.115862872005102), (27, '688', 0.11554685361185771), (28, '370', 0.11531252056877367), (29, '652', 0.11527854015304043), (30, '944', 0.1150082277371193), (31, '314', 0.11440944707422958), (32, '68', 0.11346304550733319), (33, '1033', 0.11167032560059262), (34, '682', 0.11115350780992066), (35, '522', 0.10806604050754745), (36, '67', 0.10569967358835587), (37, '96', 0.10532765972633208), (38, '921', 0.10070992671171415)]
00014;[(1, '791', 0.339243368619538), (2, '798', 0.2897799705440717), (3, '282', 0.24192674733333056), (4, '1102', 0.18363438620784386), (5, '643', 0.17566315365242852), (6, '150', 0.17172513313284712), (7, '440', 0.167506805704042), (8, '465', 0.1669583472134289), (9, '920', 0.166412051847209), (10, '1214', 0.1487724044755169), (11, '928', 0.14050617673348517), (12, '314', 0.13761148132521223), (13, '899', 0.13417524768889463), (14, '815', 0.12497260371576299), (15, '515', 0.12146726530844995), (16, '129', 0.12044246079297957), (17, '902', 0.12042396083624766), (18, '1124', 0.11390268252912245), (19, '652', 0.11096659119426279), (20, '584', 0.1096983313502107), (21, '688', 0.10718907943814801), (22, '930', 0.10593557496722043), (23, '719', 0.10545313453660826), (24, '1052', 0.10274140728308984)]
00015;[(1, '994', 0.37860713411367), (2, '690', 0.24679713431375705), (3, '601', 0.2223218944254696), (4, '474', 0.18741214672299067), (5, '822', 0.16872192783934825), (6, '642', 0.14103948828287804), (7, '443', 0.13516735460768267), (8, '908', 0.1332658535672645), (9, '398', 0.13287296183296457), (10, '1013', 0.12648809924339943), (11, '833', 0.12061471725435931), (12, '769', 0.11985267242342537), (13, '333', 0.1135600280322104), (14, '186', 0.11279329511028215), (15, '837', 0.11040246677409984), (16, '359', 0.10869188941408882), (17, '322', 0.10788319250412717), (18, '1062', 0.10477028000473126), (19, '59', 0.10389699385799774), (20, '99', 0.10266461228879548), (21, '422', 0.10189207985756026), (22, '549', 0.10168941136693362), (23, '370', 0.10150826551782632)]
00016;[(1, '649', 0.353418171182015), (2, '991', 0.3472750273215464), (3, '96', 0.27829968501832575), (4, '798', 0.2727021285722418), (5, '908', 0.26125674329951154), (6, '799', 0.25323725585134066), (7, '659', 0.2518423792902797), (8, '333', 0.22500864866360687), (9, '697', 0.19335876835418536), (10, '835', 0.19031206394813938), (11, '775', 0.18312547171184834), (12, '234', 0.18132197829724003), (13, '443', 0.1729484836462367), (14, '854', 0.1701654025378676), (15, '1064', 0.16783049528492233), (16, '483', 0.1577071591664182), (17, '772', 0.1535477329926722), (18, '690', 0.15242882572550653), (19, '204', 0.15236307713738134), (20, '834', 0.14902212501327775), (21, '186', 0.14528665268305002), (22, '1184', 0.13839734595896555), (23, '1126', 0.1382355005819184), (24, '470', 0.13792748944813485), (25, '1226', 0.1378661221127772), (26, '1119', 0.1349428601410925), (27, '319', 0.13316907117931678), (28, '473', 0.13216854499402725), (29, '752', 0.13094207809214015), (30, '518', 0.13040720761872573), (31, '870', 0.12967569428806225), (32, '1002', 0.12897866932698998), (33, '853', 0.12554608132590497), (34, '747', 0.12392779518649685), (35, '301', 0.12369063856069595), (36, '1174', 0.12244498764374974), (37, '900', 0.12115451053800848), (38, '318', 0.12037695742656597), (39, '875', 0.11483402281036907), (40, '59', 0.1129807304340966), (41, '596', 0.10791028857311649), (42, '1162', 0.10750594160825844), (43, '339', 0.1052143567571144), (44, '149', 0.10213228985846276), (45, '849', 0.10154217327201764), (46, '482', 0.10073507812457101)]
00017;[(1, '816', 0.30228470972762483), (2, '791', 0.2436590802174943), (3, '185', 0.23268264033845862), (4, '1107', 0.22812687080354335), (5, '424', 0.20911803530304193), (6, '810', 0.2033856649186077), (7, '1215', 0.18085627347093652), (8, '150', 0.18025017156759462), (9, '1093', 0.17633737472484806), (10, '823', 0.16116538949660233), (11, '688', 0.1607977788221327), (12, '992', 0.15416652253151106), (13, '888', 0.15348428571893952), (14, '489', 0.1510861682461691), (15, '798', 0.14768598601584434), (16, '89', 0.14661938885835057), (17, '902', 0.13681068884950606), (18, '1128', 0.1342312984160302), (19, '510', 0.13005905014935354), (20, '181', 0.12562398790675772), (21, '603', 0.12500361827059575), (22, '643', 0.12272176803031774), (23, '68', 0.11790465268486777), (24, '830', 0.11705996088692223), (25, '725', 0.1165261235145065), (26, '1055', 0.11638764554122498), (27, '635', 0.1142658530849896), (28, '327', 0.11406663843106456), (29, '506', 0.11268909903443336), (30, '696', 0.11243000967384535), (31, '455', 0.11178169935028048), (32, '755', 0.11062046296899274), (33, '97', 0.10887246763640894), (34, '616', 0.10812134771300665), (35, '395', 0.10678914629062047), (36, '314', 0.10616000543225623), (37, '362', 0.10612809199759432), (38, '770', 0.1035659027189334), (39, '1053', 0.10308948317449013), (40, '1078', 0.10239574751422946), (41, '852', 0.10202952212659898), (42, '847', 0.10187807599038196)]
00018;[(1, '1016', 0.44371319666177933), (2, '992', 0.17914491366582128), (3, '185', 0.17534871415473466), (4, '220', 0.148921108638223), (5, '181', 0.13445042972697852), (6, '810', 0.1262340229268686), (7, '844', 0.12263187530428313), (8, '1107', 0.11325787471022128), (9, '1215', 0.10490382379506444)]
00019;[(1, '791', 0.28249148395029844), (2, '150', 0.2572302083059775), (3, '770', 0.2551552364071707), (4, '798', 0.22592679866128088), (5, '1234', 0.2095686727476282), (6, '908', 0.20888413232766168), (7, '902', 0.20687227532441912), (8, '186', 0.1928775273123761), (9, '438', 0.192796268212039), (10, '1101', 0.19227214107106055), (11, '1128', 0.19155790284387603), (12, '660', 0.1913368393844287), (13, '643', 0.18620327685946128), (14, '963', 0.17733405774646047), (15, '510', 0.17573755123096887), (16, '852', 0.174543641066178), (17, '96', 0.17373659833776803), (18, '725', 0.1719606874820756), (19, '68', 0.16825858253898573), (20, '1055', 0.1660937021387773), (21, '635', 0.16306574876290603), (22, '392', 0.16024798244059332), (23, '755', 0.15786350983719838), (24, '616', 0.15429708916593216), (25, '657', 0.15247931380947036), (26, '688', 0.1518007645672403), (27, '159', 0.14922359425619622), (28, '326', 0.14830790245012246), (29, '424', 0.1474944968194296), (30, '823', 0.14522280579098437), (31, '506', 0.14299560470285347), (32, '1053', 0.14276405085257365), (33, '928', 0.14223232632933952), (34, '314', 0.1394189887825639), (35, '1000', 0.13796343098475045), (36, '900', 0.13775329763962676), (37, '1124', 0.1368851292173846), (38, '833', 0.13477701130204342), (39, '769', 0.13392548897434228), (40, '1180', 0.13078581305291553), (41, '799', 0.12878429642055475), (42, '648', 0.12776662863178687), (43, '767', 0.12565009286067738), (44, '914', 0.12422707156235077), (45, '1103', 0.1239958749051921), (46, '837', 0.12336566258997336), (47, '703', 0.1229605780176378), (48, '398', 0.1228758102993123), (49, '205', 0.12054762376975638), (50, '559', 0.11889378897957908), (51, '197', 0.11809637800895062), (52, '816', 0.11791030685649552), (53, '806', 0.11787693951343724), (54, '622', 0.11373482778020441), (55, '936', 0.11294359511630789), (56, '652', 0.11255467614801308), (57, '333', 0.11240929840048977), (58, '97', 0.11188397737843522), (59, '301', 0.1117104586272174), (60, '733', 0.11093190634276612), (61, '156', 0.11038749432062567), (62, '645', 0.10973243565395986), (63, '371', 0.10926277681918228), (64, '262', 0.10904946170925264), (65, '452', 0.10883422431760402), (66, '90', 0.10835388914875994), (67, '359', 0.10574538956101233), (68, '775', 0.1043796055575886), (69, '1221', 0.10420498272680666), (70, '94', 0.10380800829371852), (71, '991', 0.10334418053205845), (72, '1206', 0.10326676363446984), (73, '1107', 0.10286734766651635), (74, '370', 0.10233874455004391), (75, '1008', 0.10134186939136737), (76, '1118', 0.10092193520787185), (77, '413', 0.1006524927723337)]
